zip,county_name
92802,Orange
92804,Orange
92805,Orange
92806,Orange
92807,Orange
92808,Orange
92821,Orange
92823,Orange
92831,Orange
92832,Orange
92833,Orange
92835,Orange
92840,Orange
92841,Orange
92843,Orange
92844,Orange
92845,Orange
92860,Riverside
92861,Orange
92865,Orange
92866,Orange
92867,Orange
92868,Orange
92869,Orange
92870,Orange
92879,Riverside
92880,Riverside
92881,Riverside
92882,Riverside
92883,Riverside
92886,Orange
92887,Orange
93001,Ventura
93003,Ventura
93004,Ventura
93010,Ventura
93012,Ventura
93013,Santa Barbara
93015,Ventura
93021,Ventura
93022,Ventura
93023,Ventura
93030,Ventura
93033,Ventura
93035,Ventura
93036,Ventura
93040,Ventura
93041,Ventura
93042,Ventura
93043,Ventura
93060,Ventura
93063,Ventura
93064,Ventura
93065,Ventura
93066,Ventura
93067,Santa Barbara
93101,Santa Barbara
93103,Santa Barbara
93105,Santa Barbara
93106,Santa Barbara
93108,Santa Barbara
93109,Santa Barbara
93110,Santa Barbara
93111,Santa Barbara
93117,Santa Barbara
93201,Tulare
93202,Kings
93203,Kern
93204,Kings
93205,Kern
93206,Kern
93207,Tulare
93208,Tulare
93210,Fresno
93212,Kings
93215,Kern
93218,Tulare
93219,Tulare
93220,Kern
93221,Tulare
93222,Kern
93223,Tulare
93224,Kern
93225,Ventura
93226,Kern
93227,Tulare
93230,Kings
93234,Fresno
93235,Tulare
93237,Tulare
93238,Tulare
93239,Kings
93240,Kern
93241,Kern
93242,Fresno
93243,Kern
93244,Tulare
93245,Kings
93246,Kings
93247,Tulare
93249,Kern
93250,Kern
93251,Kern
93252,Ventura
93254,Santa Barbara
93255,Kern
93256,Tulare
93257,Tulare
93258,Tulare
93260,Tulare
93261,Tulare
93262,Tulare
93263,Kern
93265,Tulare
93266,Kings
93267,Tulare
93268,Kern
93270,Tulare
93271,Tulare
93272,Tulare
93274,Tulare
93276,Kern
93277,Tulare
93280,Kern
93283,Kern
93285,Kern
93286,Tulare
93287,Kern
93291,Tulare
93292,Tulare
93301,Kern
93304,Kern
93305,Kern
93306,Kern
93307,Kern
93308,Kern
93309,Kern
93311,Kern
93312,Kern
93313,Kern
93314,Kern
93401,San Luis Obispo
93402,San Luis Obispo
93405,San Luis Obispo
93407,San Luis Obispo
93408,San Luis Obispo
93409,San Luis Obispo
93410,San Luis Obispo
93420,San Luis Obispo
93422,San Luis Obispo
93424,San Luis Obispo
93426,Monterey
93427,Santa Barbara
93428,San Luis Obispo
93429,Santa Barbara
93430,San Luis Obispo
93432,San Luis Obispo
93433,San Luis Obispo
93434,Santa Barbara
93436,Santa Barbara
93437,Santa Barbara
93440,Santa Barbara
93441,Santa Barbara
93442,San Luis Obispo
93444,San Luis Obispo
93445,San Luis Obispo
93446,San Luis Obispo
93449,San Luis Obispo
93450,Monterey
93451,Monterey
93452,San Luis Obispo
93453,San Luis Obispo
93454,Santa Barbara
93455,Santa Barbara
93458,Santa Barbara
93460,Santa Barbara
93461,San Luis Obispo
93463,Santa Barbara
93465,San Luis Obispo
93501,Kern
93505,Kern
93510,Los Angeles
93512,Mono
93513,Inyo
93514,Mono
93516,Kern
93517,Mono
93518,Kern
93519,Kern
93522,Inyo
93523,Kern
93524,Kern
93526,Inyo
93527,Tulare
93528,Kern
93529,Mono
93530,Inyo
93531,Kern
93532,Los Angeles
93534,Los Angeles
93535,Los Angeles
93536,Los Angeles
93541,Mono
93543,Los Angeles
93544,Los Angeles
93545,Inyo
93546,Mono
93549,Inyo
93550,Los Angeles
93551,Los Angeles
93552,Los Angeles
93553,Los Angeles
93554,Kern
93555,Kern
93558,San Bernardino
93560,Kern
93561,Kern
93562,San Bernardino
93563,Los Angeles
93581,Kern
93591,Los Angeles
93601,Madera
93602,Fresno
93603,Tulare
93604,Madera
93605,Fresno
93606,Fresno
93608,Fresno
93609,Fresno
93610,Madera
93611,Fresno
93612,Fresno
93614,Madera
93615,Tulare
93616,Fresno
93618,Tulare
93619,Fresno
93620,Merced
93621,Fresno
93622,Fresno
93623,Mariposa
93624,Fresno
93625,Fresno
93626,Madera
93627,Fresno
93628,Fresno
93630,Fresno
93631,Tulare
93633,Tulare
93634,Fresno
93635,Merced
93636,Madera
93637,Madera
93638,Madera
93640,Fresno
93641,Fresno
93643,Madera
93644,Madera
93645,Madera
93646,Tulare
93647,Tulare
93648,Fresno
93650,Fresno
93651,Fresno
93652,Fresno
93653,Madera
93654,Fresno
93656,Fresno
93657,Fresno
93660,Fresno
93662,Fresno
93664,Fresno
93665,Merced
93666,Tulare
93667,Fresno
93668,Fresno
93669,Madera
93670,Tulare
93673,Tulare
93675,Fresno
93701,Fresno
93702,Fresno
93703,Fresno
93704,Fresno
93705,Fresno
93706,Fresno
93710,Fresno
93711,Fresno
93720,Fresno
93721,Fresno
93722,Fresno
93723,Fresno
93725,Fresno
93726,Fresno
93727,Fresno
93728,Fresno
93730,Fresno
93737,Fresno
93740,Fresno
93741,Fresno
93901,Monterey
93905,Monterey
93906,Monterey
93907,Monterey
93908,Monterey
93920,Monterey
93921,Monterey
93923,Monterey
93924,Monterey
93925,Monterey
93926,Monterey
93927,Monterey
93928,Monterey
93930,Monterey
93932,Monterey
93933,Monterey
93940,Monterey
93943,Monterey
93944,Monterey
93950,Monterey
93953,Monterey
93954,Monterey
93955,Monterey
93960,Monterey
93962,Monterey
94002,San Mateo
94005,San Mateo
94010,San Mateo
94014,San Mateo
94015,San Mateo
94018,San Mateo
94019,San Mateo
94020,San Mateo
94021,San Mateo
94022,Santa Clara
94024,Santa Clara
94025,San Mateo
94027,San Mateo
94028,San Mateo
94030,San Mateo
94037,San Mateo
94038,San Mateo
94040,Santa Clara
94041,Santa Clara
94043,Santa Clara
94044,San Mateo
94060,San Mateo
94061,San Mateo
94062,San Mateo
94063,San Mateo
94065,San Mateo
94066,San Mateo
94070,San Mateo
94074,San Mateo
94080,San Mateo
94085,Santa Clara
94086,Santa Clara
94087,Santa Clara
94089,Santa Clara
94102,San Francisco
94103,San Francisco
94104,San Francisco
94105,San Francisco
94107,San Francisco
94108,San Francisco
94109,San Francisco
94110,San Francisco
94111,San Francisco
94112,San Francisco
94114,San Francisco
94115,San Francisco
94116,San Francisco
94117,San Francisco
94118,San Francisco
94121,San Francisco
94122,San Francisco
94123,San Francisco
94124,San Francisco
94127,San Francisco
94128,San Mateo
94129,San Francisco
94130,San Francisco
94131,San Francisco
94132,San Francisco
94133,San Francisco
94134,San Francisco
94158,San Francisco
94188,San Francisco
94301,Santa Clara
94303,Santa Clara
94304,Santa Clara
94305,Santa Clara
94306,Santa Clara
94401,San Mateo
94402,San Mateo
94403,San Mateo
94404,San Mateo
94501,Alameda
94502,Alameda
94503,Napa
94505,Contra Costa
94506,Contra Costa
94507,Contra Costa
94508,Napa
94509,Contra Costa
94510,Solano
94511,Contra Costa
94512,Solano
94513,Contra Costa
94514,Contra Costa
94515,Sonoma
94516,Contra Costa
94517,Contra Costa
94518,Contra Costa
94519,Contra Costa
94520,Contra Costa
94521,Contra Costa
94523,Contra Costa
94525,Contra Costa
94526,Contra Costa
94528,Contra Costa
94530,Contra Costa
94531,Contra Costa
94533,Solano
94534,Solano
94535,Solano
94536,Alameda
94538,Alameda
94539,Alameda
94541,Alameda
